Source page: https://www.congress.gov/help/field-values/member-bioguide-ids?loclr=bloglaw,,
member_value,bioguideid_value,
"Abdnor, James (Republican - South Dakota)",A000009,
"Abercrombie, Neil (Democratic - Hawaii)",A000014,
"Abourezk, James (Democratic - South Dakota)",A000017,
"Abraham, Ralph Lee (Republican - Louisiana)",A000374,
"Abraham, Spencer (Republican - Michigan)",A000355,
"Abzug, Bella S. (Democratic - New York)",A000018,
"Acevedo-Vila, Anibal (Democratic - Puerto Rico)",A000359,
"Ackerman, Gary L. (Democratic - New York)",A000022,
"Adams, Alma S. (Democratic - North Carolina)",A000370,
"Adams, Brock (Democratic - Washington)",A000031,
"Adams, Sandy (Republican - Florida)",A000366,
"Addabbo, Joseph P. (Democratic - New York)",A000052,
"Aderholt, Robert B. (Republican - Alabama)",A000055,
"Adler, John H. (Democratic - New Jersey)",A000364,
"Aguilar, Pete (Democratic - California)",A000371,
"Aiken, George (Republican - Vermont)",A000062,
"Akaka, Daniel K. (Democratic - Hawaii)",A000069,
"Akin, W. Todd (Republican - Missouri)",A000358,
"Albert, Carl (Democratic - Oklahoma)",A000073,
"Albosta, Donald J. (Democratic - Michigan)",A000076,
"Alexander, Bill (Democratic - Arkansas)",A000103,
"Alexander, Lamar (Republican - Tennessee)",A000360,
"Alexander, Rodney (Republican - Louisiana)",A000361,
"Allard, Wayne (Republican - Colorado)",A000109,
"Allen, Clifford R. (Democratic - Tennessee)",A000118,
"Allen, George (Republican - Virginia)",A000121,
"Allen, James B. (Democratic - Alabama)",A000127,
"Allen, Maryon (Democratic - Alabama)",A000139,
"Allen, Rick W. (Republican - Georgia)",A000372,
"Allen, Thomas H. (Democratic - Maine)",A000357,
"Altmire, Jason (Democratic - Pennsylvania)",A000362,
"Amash, Justin (Republican - Michigan)",A000367,
"Ambro, Jerome A. (Democratic - New York)",A000170,
"Ammerman, Joseph S. (Democratic - Pennsylvania)",A000177,
"Amodei, Mark E. (Republican - Nevada)",A000369,
"Anderson, Glenn M. (Democratic - California)",A000189,
"Anderson, John B. (Republican - Illinois)",A000195,
"Anderson, Wendell R. (Democratic - Minnesota)",A000202,
"Andrews, Ike (Democratic - North Carolina)",A000207,
"Andrews, Mark (Republican - North Dakota)",A000208,
"Andrews, Michael (Democratic - Texas)",A000209,
"Andrews, Robert E. (Democratic - New Jersey)",A000210,
"Andrews, Thomas H. (Democratic - Maine)",A000211,
"Annunzio, Frank (Democratic - Illinois)",A000212,
"Anthony, Beryl, Jr. (Democratic - Arkansas)",A000213,
"Applegate, Douglas (Democratic - Ohio)",A000214,
"Archer, Bill (Republican - Texas)",A000215,
"Arcuri, Michael A. (Democratic - New York)",A000363,
"Arends, Leslie C. (Republican - Illinois)",A000216,
"Armey, Richard K. (Republican - Texas)",A000217,
"Armstrong, William L. (Republican - Colorado)",A000219,
"Ashbrook, Jean (Republican - Ohio)",A000220,
"Ashbrook, John M. (Republican - Ohio)",A000221,
"Ashcroft, John (Republican - Missouri)",A000356,
"Ashford, Brad (Democratic - Nebraska)",A000373,
"Ashley, Thomas L. (Democratic - Ohio)",A000222,
"Aspin, Les (Democratic - Wisconsin)",A000224,
"Atkins, Chester G. (Democratic - Massachusetts)",A000226,
"Atkinson, Eugene V. (Democratic - Pennsylvania)",A000329,
"AuCoin, Les (Democratic - Oregon)",A000337,
"Austria, Steve (Republican - Ohio)",A000365,
"Ayotte, Kelly (Republican - New Hampshire)",A000368,
"Babin, Brian (Republican - Texas)",B001291,
"Baca, Joe (Democratic - California)",B001234,
"Bacchus, Jim (Democratic - Florida)",B000008,
"Bachmann, Michele (Republican - Minnesota)",B001256,
"Bachus, Spencer (Republican - Alabama)",B000013,
"Badham, Robert E. (Republican - California)",B000024,
"Badillo, Herman (Democratic - New York)",B000025,
"Baesler, Scotty (Democratic - Kentucky)",B000028,
"Bafalis, L. A. (Skip) (Republican - Florida)",B000029,
"Bailey, Donald A. (Democratic - Pennsylvania)",B000037,
"Bailey, Wendell (Republican - Missouri)",B000047,
"Baird, Brian (Democratic - Washington)",B001229,
"Baker, Bill (Republican - California)",B000078,
"Baker, Howard H., Jr. (Republican - Tennessee)",B000063,
"Baker, LaMar (Republican - Tennessee)",B000069,
"Baker, Richard H. (Republican - Louisiana)",B000072,
"Baldacci, John Elias (Democratic - Maine)",B000081,
"Baldus, Alvin J. (Democratic - Wisconsin)",B000083,
"Baldwin, Tammy (Democratic - Wisconsin)",B001230,
"Ballance, Frank W., Jr. (Democratic - North Carolina)",B001238,
"Ballenger, Cass (Republican - North Carolina)",B000104,
"Barber, Ron (Democratic - Arizona)",B001279,
"Barca, Peter (Democratic - Wisconsin)",B001226,
"Barcia, James A. (Democratic - Michigan)",B000134,
"Barkley, Dean M. (Independent - Minnesota)",B001237,
"Barletta, Lou (Republican - Pennsylvania)",B001269,
"Barlow, Tom (Democratic - Kentucky)",B000151,
"Barnard, Doug, Jr. (Democratic - Georgia)",B000153,
"Barnes, Michael D. (Democratic - Maryland)",B000160,
"Barr, Andy (Republican - Kentucky)",B001282,
"Barr, Bob (Republican - Georgia)",B000169,
"Barrasso, John (Republican - Wyoming)",B001261,
"Barrett, Bill (Republican - Nebraska)",B000179,
"Barrett, J. Gresham (Republican - South Carolina)",B001239,
"Barrett, Thomas M. (Democratic - Wisconsin)",B000177,
"Barrett, William A. (Democratic - Pennsylvania)",B000178,
"Barrow, John (Democratic - Georgia)",B001252,
"Bartlett, Dewey F. (Republican - Oklahoma)",B000200,
"Bartlett, Roscoe G. (Republican - Maryland)",B000208,
"Bartlett, Steve (Republican - Texas)",B000204,
"Barton, Joe (Republican - Texas)",B000213,
"Bass, Charles F. (Republican - New Hampshire)",B000220,
"Bass, Karen (Democratic - California)",B001270,
"Bateman, Herbert H. (Republican - Virginia)",B000229,
"Bates, Jim (Democratic - California)",B000236,
"Baucus, Max (Democratic - Montana)",B000243,
"Bauman, Robert E. (Republican - Maryland)",B000244,
"Bayh, Birch (Democratic - Indiana)",B000254,
"Bayh, Evan (Democratic - Indiana)",B001233,
"Beall, J. Glenn, Jr. (Republican - Maryland)",B000272,
"Bean, Melissa L. (Democratic - Illinois)",B001253,
"Beard, Edward (Democratic - Rhode Island)",B000279,
"Beard, Robin (Republican - Tennessee)",B000280,
"Beatty, Joyce (Democratic - Ohio)",B001281,
"Beauprez, Bob (Republican - Colorado)",B001240,
"Becerra, Xavier (Democratic - California)",B000287,
"Bedell, Berkley W. (Democratic - Iowa)",B000298,
"Begich, Mark (Democratic - Alaska)",B001265,
"Beilenson, Anthony C. (Democratic - California)",B000318,
"Bell, Alphonzo (Republican - California)",B000330,
"Bell, Chris (Democratic - Texas)",B001241,
"Bellmon, Henry L. (Republican - Oklahoma)",B000351,
"Benedict, Cleve (Republican - West Virginia)",B000358,
"Benishek, Dan (Republican - Michigan)",B001271,
"Benitez, Jamie (Democratic - Puerto Rico)",B000362,
"Benjamin, Adam, Jr. (Democratic - Indiana)",B000363,
"Bennet, Michael F. (Democratic - Colorado)",B001267,
"Bennett, Charles E. (Democratic - Florida)",B000371,
"Bennett, Robert F. (Republican - Utah)",B000382,
"Bennett, Wallace F. (Republican - Utah)",B000384,
"Bentivolio, Kerry L. (Republican - Michigan)",B001280,
"Bentley, Helen Delich (Republican - Maryland)",B000392,
"Bentsen, Ken (Democratic - Texas)",B000400,
"Bentsen, Lloyd M. (Democratic - Texas)",B000401,
"Bera, Ami (Democratic - California)",B001287,
"Bereuter, Doug (Republican - Nebraska)",B000403,
"Berg, Rick (Republican - North Dakota)",B001272,
"Bergland, Bob (Republican - Minnesota)",B000408,
"Berkley, Shelley (Democratic - Nevada)",B001231,
